2025-12-17 16:38:33,488 - INFO - 尝试连接服务器: 121.36.81.195:7709
2025-12-17 16:38:33,703 - INFO - 成功连接服务器: 121.36.81.195:7709
2025-12-17 16:38:43,427 - INFO - 成功获取301536的K线数据，耗时: 0.06秒, 记录数: 229
2025-12-17 16:38:43,504 - INFO - 成功获取300220的K线数据，耗时: 0.06秒, 记录数: 257
2025-12-17 16:38:43,615 - INFO - 成功获取300478的K线数据，耗时: 0.07秒, 记录数: 258
2025-12-17 16:38:43,722 - INFO - 成功获取300839的K线数据，耗时: 0.08秒, 记录数: 253
2025-12-17 16:38:43,802 - INFO - 成功获取300170的K线数据，耗时: 0.07秒, 记录数: 259
2025-12-17 16:38:43,876 - INFO - 成功获取300249的K线数据，耗时: 0.06秒, 记录数: 259
2025-12-17 16:38:43,950 - INFO - 成功获取300258的K线数据，耗时: 0.06秒, 记录数: 259
2025-12-17 16:38:44,027 - INFO - 成功获取300491的K线数据，耗时: 0.06秒, 记录数: 259
2025-12-17 16:38:44,108 - INFO - 成功获取300027的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,180 - INFO - 成功获取300071的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,255 - INFO - 成功获取300530的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,339 - INFO - 成功获取300816的K线数据，耗时: 0.07秒, 记录数: 260
2025-12-17 16:38:44,431 - INFO - 成功获取301238的K线数据，耗时: 0.07秒, 记录数: 260
2025-12-17 16:38:44,509 - INFO - 成功获取301396的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,597 - INFO - 成功获取300078的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,682 - INFO - 成功获取300153的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,762 - INFO - 成功获取300212的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:44,845 - INFO - 成功获取300287的K线数据，耗时: 0.07秒, 记录数: 260
2025-12-17 16:38:45,406 - INFO - 成功获取300454的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:45,552 - INFO - 成功获取300478的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:45,639 - INFO - 成功获取301230的K线数据，耗时: 0.06秒, 记录数: 260
2025-12-17 16:38:45,729 - INFO - 成功获取301459的K线数据，耗时: 0.07秒, 记录数: 260
2025-12-17 16:38:46,021 - INFO - 成功获取301585的K线数据，耗时: 0.07秒, 记录数: 54
2025-12-17 16:38:46,101 - INFO - 成功获取301602的K线数据，耗时: 0.06秒, 记录数: 32
2025-12-17 16:38:46,178 - INFO - 成功获取300065的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:46,276 - INFO - 成功获取300069的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:46,362 - INFO - 成功获取300359的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:46,488 - INFO - 成功获取300718的K线数据，耗时: 0.11秒, 记录数: 262
2025-12-17 16:38:46,580 - INFO - 成功获取300911的K线数据，耗时: 0.08秒, 记录数: 262
2025-12-17 16:38:46,654 - INFO - 成功获取301189的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:46,733 - INFO - 成功获取301428的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:46,816 - INFO - 成功获取301510的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:46,891 - INFO - 成功获取300490的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:46,971 - INFO - 成功获取300648的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:47,051 - INFO - 成功获取300946的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:47,125 - INFO - 成功获取300007的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:47,211 - INFO - 成功获取300065的K线数据，耗时: 0.07秒, 记录数: 254
2025-12-17 16:38:47,297 - INFO - 成功获取300100的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:47,452 - INFO - 成功获取300276的K线数据，耗时: 0.08秒, 记录数: 264
2025-12-17 16:38:47,534 - INFO - 成功获取300488的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:47,608 - INFO - 成功获取300491的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:47,721 - INFO - 成功获取300571的K线数据，耗时: 0.10秒, 记录数: 264
2025-12-17 16:38:47,854 - INFO - 成功获取300718的K线数据，耗时: 0.12秒, 记录数: 264
2025-12-17 16:38:47,929 - INFO - 成功获取301024的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,011 - INFO - 成功获取301368的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,087 - INFO - 成功获取301398的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,163 - INFO - 成功获取300019的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,237 - INFO - 成功获取300246的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,316 - INFO - 成功获取300256的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,396 - INFO - 成功获取300543的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,473 - INFO - 成功获取300622的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,549 - INFO - 成功获取300738的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,629 - INFO - 成功获取300817的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,705 - INFO - 成功获取300868的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,783 - INFO - 成功获取301101的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,860 - INFO - 成功获取301300的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:48,939 - INFO - 成功获取301336的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:49,015 - INFO - 成功获取300068的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,097 - INFO - 成功获取300077的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,181 - INFO - 成功获取300153的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:49,255 - INFO - 成功获取300214的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,336 - INFO - 成功获取300245的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:49,414 - INFO - 成功获取300383的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,506 - INFO - 成功获取300442的K线数据，耗时: 0.08秒, 记录数: 263
2025-12-17 16:38:49,589 - INFO - 成功获取300660的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:49,665 - INFO - 成功获取300870的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,761 - INFO - 成功获取300961的K线数据，耗时: 0.08秒, 记录数: 263
2025-12-17 16:38:49,836 - INFO - 成功获取301018的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,916 - INFO - 成功获取301165的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:49,991 - INFO - 成功获取301202的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:50,073 - INFO - 成功获取301210的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:50,157 - INFO - 成功获取301510的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:50,238 - INFO - 成功获取300074的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:50,322 - INFO - 成功获取300103的K线数据，耗时: 0.07秒, 记录数: 257
2025-12-17 16:38:50,415 - INFO - 成功获取300126的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:50,499 - INFO - 成功获取300148的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:50,579 - INFO - 成功获取300918的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:50,652 - INFO - 成功获取301139的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:50,732 - INFO - 成功获取301281的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:50,813 - INFO - 成功获取301382的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:50,900 - INFO - 成功获取300134的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:51,002 - INFO - 成功获取300488的K线数据，耗时: 0.09秒, 记录数: 263
2025-12-17 16:38:51,089 - INFO - 成功获取300508的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:51,178 - INFO - 成功获取301090的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:51,262 - INFO - 成功获取301181的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:51,339 - INFO - 成功获取300031的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:51,418 - INFO - 成功获取300083的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:51,501 - INFO - 成功获取300214的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:51,583 - INFO - 成功获取300245的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:51,660 - INFO - 成功获取300421的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:51,745 - INFO - 成功获取300539的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:51,825 - INFO - 成功获取300730的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:51,899 - INFO - 成功获取301003的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:51,974 - INFO - 成功获取300746的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:52,053 - INFO - 成功获取300915的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:52,129 - INFO - 成功获取301135的K线数据，耗时: 0.06秒, 记录数: 264
2025-12-17 16:38:52,216 - INFO - 成功获取301366的K线数据，耗时: 0.07秒, 记录数: 264
2025-12-17 16:38:52,291 - INFO - 成功获取300076的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:52,373 - INFO - 成功获取300191的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:52,465 - INFO - 成功获取301022的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:52,547 - INFO - 成功获取301182的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:52,632 - INFO - 成功获取301396的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:52,710 - INFO - 成功获取300195的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:52,787 - INFO - 成功获取300473的K线数据，耗时: 0.06秒, 记录数: 254
2025-12-17 16:38:52,865 - INFO - 成功获取300530的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:52,942 - INFO - 成功获取300619的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:53,039 - INFO - 成功获取300042的K线数据，耗时: 0.08秒, 记录数: 263
2025-12-17 16:38:53,118 - INFO - 成功获取300183的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,194 - INFO - 成功获取300512的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,270 - INFO - 成功获取301112的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,349 - INFO - 成功获取301357的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,428 - INFO - 成功获取300328的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,502 - INFO - 成功获取300523的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,583 - INFO - 成功获取300611的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:53,662 - INFO - 成功获取300964的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,735 - INFO - 成功获取300984的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,809 - INFO - 成功获取301139的K线数据，耗时: 0.06秒, 记录数: 263
2025-12-17 16:38:53,888 - INFO - 成功获取301396的K线数据，耗时: 0.07秒, 记录数: 263
2025-12-17 16:38:53,965 - INFO - 成功获取300058的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,050 - INFO - 成功获取300170的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:54,122 - INFO - 成功获取300248的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,198 - INFO - 成功获取300378的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,270 - INFO - 成功获取300819的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,361 - INFO - 成功获取300840的K线数据，耗时: 0.08秒, 记录数: 262
2025-12-17 16:38:54,436 - INFO - 成功获取301032的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,518 - INFO - 成功获取301208的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,597 - INFO - 成功获取301280的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,680 - INFO - 成功获取301287的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,757 - INFO - 成功获取301428的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:54,833 - INFO - 成功获取301607的K线数据，耗时: 0.06秒, 记录数: 138
2025-12-17 16:38:54,907 - INFO - 成功获取301608的K线数据，耗时: 0.06秒, 记录数: 162
2025-12-17 16:38:54,986 - INFO - 成功获取300515的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:55,066 - INFO - 成功获取300938的K线数据，耗时: 0.07秒, 记录数: 261
2025-12-17 16:38:55,146 - INFO - 成功获取300953的K线数据，耗时: 0.07秒, 记录数: 261
2025-12-17 16:38:55,242 - INFO - 成功获取301225的K线数据，耗时: 0.07秒, 记录数: 261
2025-12-17 16:38:55,322 - INFO - 成功获取300210的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:55,402 - INFO - 成功获取300451的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:55,478 - INFO - 成功获取301021的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:55,554 - INFO - 成功获取300466的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:55,628 - INFO - 成功获取300819的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:55,711 - INFO - 成功获取300907的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:55,804 - INFO - 成功获取301176的K线数据，耗时: 0.08秒, 记录数: 262
2025-12-17 16:38:55,882 - INFO - 成功获取300042的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:55,963 - INFO - 成功获取300091的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:56,039 - INFO - 成功获取300233的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:56,118 - INFO - 成功获取300449的K线数据，耗时: 0.06秒, 记录数: 252
2025-12-17 16:38:56,204 - INFO - 成功获取300248的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:56,291 - INFO - 成功获取300511的K线数据，耗时: 0.07秒, 记录数: 257
2025-12-17 16:38:56,366 - INFO - 成功获取300565的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:56,449 - INFO - 成功获取300695的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:56,528 - INFO - 成功获取300810的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:56,602 - INFO - 成功获取300961的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:56,681 - INFO - 成功获取301032的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:56,758 - INFO - 成功获取300065的K线数据，耗时: 0.06秒, 记录数: 251
2025-12-17 16:38:56,849 - INFO - 成功获取300086的K线数据，耗时: 0.07秒, 记录数: 261
2025-12-17 16:38:56,928 - INFO - 成功获取300106的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,002 - INFO - 成功获取300314的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,080 - INFO - 成功获取300380的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,156 - INFO - 成功获取300892的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,237 - INFO - 成功获取300898的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,311 - INFO - 成功获取301078的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,386 - INFO - 成功获取301126的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,460 - INFO - 成功获取301191的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,533 - INFO - 成功获取300191的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,607 - INFO - 成功获取300353的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,679 - INFO - 成功获取300720的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,753 - INFO - 成功获取300819的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,829 - INFO - 成功获取301053的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,901 - INFO - 成功获取301109的K线数据，耗时: 0.06秒, 记录数: 261
2025-12-17 16:38:57,978 - INFO - 成功获取300510的K线数据，耗时: 0.06秒, 记录数: 262
2025-12-17 16:38:58,059 - INFO - 成功获取300713的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:58,137 - INFO - 成功获取300798的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:58,217 - INFO - 成功获取300918的K线数据，耗时: 0.07秒, 记录数: 262
2025-12-17 16:38:58,290 - INFO - 成功获取301275的K线数据，耗时: 0.06秒, 记录数: 26
2025-12-17 16:38:58,362 - INFO - 成功获取301607的K线数据，耗时: 0.06秒, 记录数: 146
2025-12-17 16:38:58,434 - INFO - 成功获取300817的K线数据，耗时: 0.06秒, 记录数: 262
